x,y0,y1,y2,y3,y4,y5
6242,507,-53,-4253,96,416,46
6252,486,-47,-4225,99,408,20
6261,502,-42,-4237,99,393,-3
6271,501,-68,-4146,111,365,-18
6281,505,-39,-4168,111,319,-41
6291,524,-34,-4126,104,261,-54
6301,573,-19,-4102,98,188,-67
6312,594,7,-4112,89,101,-71
6322,585,60,-4128,80,12,-66
6152,509,95,-4235,-4278,-3829,-321
6162,535,119,-4333,-1367,258,-393
6172,526,74,-4346,72,80,-119
6183,536,63,-4323,70,177,78
6193,549,67,-4368,85,234,85
6201,557,52,-4348,96,302,97
6211,541,1,-4323,90,356,100
6222,535,-22,-4281,89,385,91
6232,512,-64,-4270,95,403,69
6332,656,70,-4087,64,-61,-55
6340,743,107,-4179,52,-121,-40
6353,796,90,-4215,43,-161,-28
6361,820,105,-4232,35,-175,-23
6371,749,81,-4300,27,-164,-17
6381,676,43,-4320,21,-140,-11
6392,610,-17,-4352,22,-89,-11
6402,564,-29,-4336,26,-29,-29
6412,517,-21,-4338,31,28,-35
6422,480,-8,-4279,40,69,-31
6430,457,0,-4262,45,91,-11
6441,435,-7,-4229,36,92,26
6451,463,-16,-4217,36,69,64
6461,443,10,-4182,29,39,100
6471,487,10,-4196,18,0,139
6482,622,7,-4186,13,-43,172
6492,768,-11,-4235,14,-69,159
6502,875,11,-4274,25,-66,96
6510,894,40,-4270,36,-47,16
6521,833,53,-4249,44,-18,-42
6531,678,44,-4239,42,1,-78
6541,593,69,-4214,42,3,-76
6551,606,26,-4251,41,-7,-60
6562,614,39,-4230,42,-31,-46
6572,630,17,-4243,42,-42,-34
6582,599,28,-4244,39,-38,-23
6590,585,48,-4279,38,-31,-15
6600,588,57,-4288,36,-12,7
6611,574,72,-4274,35,10,36
6621,544,70,-4248,26,24,73
6631,545,56,-4254,14,24,103
6641,573,40,-4217,5,6,128
6652,576,19,-4195,-2,-23,146
6662,629,4,-4219,-8,-52,154
6670,620,19,-4231,-7,-79,153
6680,650,-17,-4245,-9,-95,143
6691,625,-17,-4229,-9,-101,125
6701,606,-24,-4274,-7,-102,99
6711,608,-21,-4254,-5,-94,73
6721,615,-29,-4261,0,-90,50
6732,612,7,-4280,7,-79,27
6740,589,4,-4251,9,-72,13
6750,596,9,-4254,12,-66,5
6760,586,6,-4288,13,-61,6
6770,576,16,-4289,15,-56,-2
6781,572,16,-4272,22,-39,-3
6791,583,16,-4310,25,-19,-3
6799,589,23,-4273,30,-1,-2
6809,591,23,-4285,30,17,5
6820,579,23,-4256,33,27,6
6830,586,23,-4232,30,21,7
6840,576,-2,-4213,32,9,2
6850,574,45,-4204,34,-13,-7
6861,584,16,-4214,34,-34,-10
